period_start,period_end,State,Governor,demo,n,Margin of error,Approve,Dissaprove,Don't know/No opinion
4/1/2023,6/30/2023,Alabama,Kay Ivey,Registered Voters,4422,1%,62%,32%,6%
4/1/2023,6/30/2023,Alaska,Michael Dunleavy,Registered Voters,380,5%,62%,28%,10%
4/1/2023,6/30/2023,Arizona,Katie Hobbs,Registered Voters,5225,1%,47%,40%,13%
4/1/2023,6/30/2023,Arkansas,Sarah Huckabee Sanders,Registered Voters,2541,2%,60%,30%,10%
4/1/2023,6/30/2023,California,Gavin Newsom,Registered Voters,20247,1%,56%,37%,6%
4/1/2023,6/30/2023,Colorado,Jared Polis,Registered Voters,3408,2%,60%,32%,8%
4/1/2023,6/30/2023,Connecticut,Ned Lamont,Registered Voters,3307,2%,62%,32%,6%
4/1/2023,6/30/2023,Delaware,John Carney,Registered Voters,1161,3%,55%,32%,13%
4/1/2023,6/30/2023,Florida,Ron DeSantis,Registered Voters,22556,1%,54%,42%,4%
4/1/2023,6/30/2023,Georgia,Brian Kemp,Registered Voters,10176,1%,59%,33%,8%
4/1/2023,6/30/2023,Hawaii,Josh Green,Registered Voters,720,4%,64%,24%,12%
4/1/2023,6/30/2023,Idaho,Brad Little,Registered Voters,838,3%,54%,38%,8%
4/1/2023,6/30/2023,Illinois,JB Pritzker,Registered Voters,11054,1%,54%,41%,5%
4/1/2023,6/30/2023,Indiana,Eric Holcomb,Registered Voters,5854,1%,55%,35%,10%
4/1/2023,6/30/2023,Iowa,Kim Reynolds,Registered Voters,2400,2%,54%,42%,4%
4/1/2023,6/30/2023,Kansas,Laura Kelly,Registered Voters,2122,2%,58%,34%,7%
4/1/2023,6/30/2023,Kentucky,Andy Beshear,Registered Voters,4921,1%,64%,32%,5%
4/1/2023,6/30/2023,Louisiana,John Bel Edwards,Registered Voters,3426,2%,53%,39%,8%
4/1/2023,6/30/2023,Maine,Janet Mills,Registered Voters,1350,3%,59%,39%,3%
4/1/2023,6/30/2023,Maryland,Wes Moore,Registered Voters,4779,1%,58%,22%,20%
4/1/2023,6/30/2023,Massachusetts,Maura Healey,Registered Voters,5138,1%,60%,23%,17%
4/1/2023,6/30/2023,Michigan,Gretchen Whitmer,Registered Voters,9975,1%,57%,39%,4%
4/1/2023,6/30/2023,Minnesota,Tim Walz,Registered Voters,4008,2%,54%,42%,4%
4/1/2023,6/30/2023,Mississippi,Tate Reeves,Registered Voters,2380,2%,48%,42%,11%
4/1/2023,6/30/2023,Missouri,Mike Parson,Registered Voters,5166,1%,51%,36%,13%
4/1/2023,6/30/2023,Montana,Greg Gianforte,Registered Voters,619,4%,57%,33%,10%
4/1/2023,6/30/2023,Nebraska,Jim Pillen,Registered Voters,1314,3%,51%,29%,20%
4/1/2023,6/30/2023,Nevada,Joseph Lombardo,Registered Voters,2863,2%,57%,26%,17%
4/1/2023,6/30/2023,New Hampshire,Chris Sununu,Registered Voters,1372,3%,64%,29%,7%
4/1/2023,6/30/2023,New Jersey,Philip Murphy,Registered Voters,7732,1%,55%,37%,8%
4/1/2023,6/30/2023,New Mexico,Michelle Lujan Grisham,Registered Voters,1155,3%,52%,42%,6%
4/1/2023,6/30/2023,New York,Kathy Hochul,Registered Voters,19856,1%,51%,40%,9%
4/1/2023,6/30/2023,North Carolina,Roy Cooper III,Registered Voters,9906,1%,54%,36%,10%
4/1/2023,6/30/2023,North Dakota,Doug Burgum,Registered Voters,470,5%,57%,27%,16%
4/1/2023,6/30/2023,Ohio,Mike DeWine,Registered Voters,11851,1%,57%,36%,7%
4/1/2023,6/30/2023,Oklahoma,Kevin Stitt,Registered Voters,3180,2%,51%,40%,9%
4/1/2023,6/30/2023,Oregon,Tina Kotek,Registered Voters,2644,2%,45%,39%,16%
4/1/2023,6/30/2023,Pennsylvania,Josh Shapiro,Registered Voters,14599,1%,56%,28%,17%
4/1/2023,6/30/2023,Rhode Island,Dan McKee,Registered Voters,1018,3%,52%,33%,15%
4/1/2023,6/30/2023,South Carolina,Henry McMaster,Registered Voters,5347,1%,56%,33%,11%
4/1/2023,6/30/2023,South Dakota,Kristi Noem,Registered Voters,599,4%,63%,35%,2%
4/1/2023,6/30/2023,Tennessee,Bill Lee,Registered Voters,5997,1%,59%,32%,9%
4/1/2023,6/30/2023,Texas,Gregory Abbott,Registered Voters,19050,1%,53%,42%,5%
4/1/2023,6/30/2023,Utah,Spencer Cox,Registered Voters,1487,3%,61%,26%,13%
4/1/2023,6/30/2023,Vermont,Phil Scott,Registered Voters,513,4%,76%,22%,2%
4/1/2023,6/30/2023,Virginia,Glenn Youngkin,Registered Voters,8123,1%,57%,32%,11%
4/1/2023,6/30/2023,Washington,Jay Inslee,Registered Voters,4239,2%,51%,43%,6%
4/1/2023,6/30/2023,West Virginia,Jim Justice,Registered Voters,2112,2%,62%,33%,5%
4/1/2023,6/30/2023,Wisconsin,Tony Evers,Registered Voters,4949,1%,51%,44%,5%
4/1/2023,6/30/2023,Wyoming,Mark Gordon,Registered Voters,285,6%,69%,19%,11%
